"","id","crime"
"77","Noite-2014-12-31-Hollywood","VANDALISM - MISDEAMEANOR ($399 OR UNDER)"
"78","Tarde-2014-12-31-Hollywood","VANDALISM - MISDEAMEANOR ($399 OR UNDER)"
"79","Noite-2014-12-31-Hollywood","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
"80","Noite-2014-12-31-Hollywood","VANDALISM - MISDEAMEANOR ($399 OR UNDER)"
"81","Manha-2014-12-31-Hollywood","LETTERS, LEWD"
"82","Noite-2014-12-31-Hollywood","VIOLATION OF COURT ORDER"
"83","Tarde-2014-12-31-Hollywood","OTHER ASSAULT"
"84","Madrugada-2014-12-31-Hollywood","ROBBERY"
"85","Madrugada-2014-12-31-Hollywood","VEHICLE - STOLEN"
"86","Madrugada-2014-12-31-Hollywood","ROBBERY"
"87","Noite-2014-12-30-Hollywood","BURGLARY"
"88","Madrugada-2014-12-26-Hollywood","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"89","Manha-2014-12-31-Hollywood","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
"90","Manha-2014-12-31-Hollywood","BATTERY - SIMPLE ASSAULT"
"91","Madrugada-2014-12-31-Hollywood","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
"92","Madrugada-2014-12-31-Hollywood","THEFT PLAIN - PETTY ($950 & UNDER)"
"93","Madrugada-2014-12-31-Hollywood","VANDALISM - MISDEAMEANOR ($399 OR UNDER)"
"94","Noite-2014-12-30-Hollywood","STALKING"
"95","Tarde-2014-12-01-Hollywood","THEFT PLAIN - PETTY ($950 & UNDER)"
"96","Tarde-2014-12-27-Hollywood","BURGLARY"
"97","Tarde-2014-12-31-Hollywood","BATTERY - SIMPLE ASSAULT"
"98","Noite-2014-12-30-Hollywood","BURGLARY FROM VEHICLE"
"99","Tarde-2014-12-27-Hollywood","THEFT PLAIN - PETTY ($950 & UNDER)"
"100","Noite-2014-12-31-Hollywood","BATTERY - SIMPLE ASSAULT"
"101","Noite-2014-12-30-Hollywood","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
"102","Madrugada-2014-12-29-Hollywood","THEFT OF IDENTITY"
"103","Tarde-2014-12-30-Wilshire","SPOUSAL (COHAB) ABUSE - AGGRAVATED ASSAULT"
